customer_unique_id,segment_label,churn_probability,clv_ml,summary,risk_explanation,key_drivers,recommended_actions,limitations,auto_faithfulness_passed,auto_faithfulness_notes,faithfulness_1_5,numerical_accuracy_1_5,clarity_1_5,actionability_1_5,non_causal_language_1_5,reviewer_notes
c8d3d9443d7414d6e762d6a22d870533,Lapsed one-time buyers,0.0723332911729812,161.32737758675304,"Customer c8d3d9443d7414d6e762d6a22d870533 belongs to the Lapsed one-time buyers segment with a historical spend of 160.57. The machine learning model projects a customer lifetime value of 161.33, while the formula-based CLV estimation is 2219.86. Overall, the customer displays a low churn probability of 0.072.",Features such as an avg_delivery_delay of -5.0 and an avg_delivery_days of 3.0 were important factors contributing to the model's lower churn probability prediction. Additional contributions came from an avg_freight of 13.58 and state_SP of 1.0.,avg_delivery_delay of -5.0; avg_delivery_days of 3.0; frequency of 1.0; avg_order_value of 160.57,Engage customer with targeted re-engagement campaigns to increase order frequency from 1.0,SHAP feature attributions reflect statistical correlations with the model's predictions and do not imply direct causation.; CLV values are predictive projections and formula-based estimates rather than guaranteed future revenue.,True,,5,5,4,4,5,Rounded values match source columns; drivers consistent across risk_explanation/key_drivers. Large gap between formula CLV (2219.86) and ML CLV (161.33) is stated but not contextualized for the reader.
ff043fc4d4ce09658d21408def8d5dde,Lapsed one-time buyers,0.4520875215530395,159.7963180177632,Customer ff043fc4d4ce09658d21408def8d5dde belongs to the Lapsed one-time buyers segment with a historical spend of 159.33. The customer exhibits a churn probability of 0.452 and a machine-learning predicted CLV of 159.80. The broader market shows a flat trend direction with a -2.6% predicted revenue change over the next 30 days.,"The model evaluates the customer's churn risk at 0.452, where avg_freight (69.34) and state_PA (1.0) were key factors associated with the churn prediction. Additional factors contributing to the evaluation include avg_installments (1.0), avg_delivery_days (26.0), and avg_order_value (159.33).",avg_freight (69.34); state_PA location (1.0); frequency (1.0); avg_order_value (159.33),Re-engage customer with targeted promotions to increase purchase frequency beyond 1.0; Review shipping costs and delivery experience to improve retention factors,"SHAP feature attributions reflect statistical correlations with model outputs, not direct causal effects; CLV figures represent forward-looking machine learning projections rather than guaranteed future revenue",True,,5,5,5,4,5,"Clean, well-rounded, two distinct and specific actions tied to stated drivers (freight, frequency)."
36c609d445f089d31d4f0d39a93db684,Lapsed one-time buyers,0.5272793769836426,144.31185061497172,"This customer belongs to the Lapsed one-time buyers segment with a historical spend of 144.0. The machine learning model projects a customer lifetime value of 144.31185061497172 against a formula-based estimate of 273.0999984741211, paired with a churn probability of 0.5272793769836426. Market forecast data indicates a flat revenue trend of -2.6% for the upcoming 30-day period.",The model's churn probability of 0.5272793769836426 was influenced by factors such as an avg_freight value of 31.0 (SHAP 0.2138) and an avg_delivery_days value of 33.0 (SHAP -0.1753). An avg_installments value of 1.0 (SHAP -0.085) also contributed to the prediction.,avg_freight of 31.0; avg_delivery_days of 33.0; avg_order_value of 144.0; frequency of 1.0,Review high freight charges to mitigate risk for lapsed buyers; Target single-purchase customers to improve order frequency,SHAP values indicate correlation with model predictions rather than direct causation; CLV figures are projected estimates rather than guaranteed revenue,True,,5,5,3,4,5,"Numbers reported at full float precision (144.31185061497172, 0.5272793769836426) instead of rounding -- reduces readability despite being numerically correct."
817e5716f6422034866ca98df738,Lapsed one-time buyers,0.591360867023468,267.9010943073161,Customer 817e5716f6422034866ca98df738 is classified under the 'Lapsed one-time buyers' segment with a historical spend of 266.49. The machine learning model projects a customer lifetime value of 267.90 alongside a predicted churn probability of 0.591 (59.14%). Overall market context indicates a relatively flat trend with next 30-day predicted revenue down by 2.6%.,"An avg_freight value of 16.5 was the top factor pushing up the churn risk prediction, with an avg_delivery_days of 8.0 also contributing positively to churn. Conversely, being in state_SP (value of 1.0) was an important factor mitigating the predicted churn risk.",High average freight cost (16.5) increasing predicted churn risk; Average order value of 266.49 positively impacting projected CLV; Low order frequency (1.0) pulling down projected CLV; Location in state_SP reducing predicted churn risk,Offer targeted shipping incentives or freight discounts to address high average freight fees; Deploy re-engagement campaigns designed to convert single-purchase customers into repeat buyers,SHAP feature attributions reflect statistical correlations with the model's prediction and do not prove direct causation; CLV metrics and revenue forecasts are projected estimates subject to market variation,True,,5,5,4,4,4,Consistent numbers and drivers. 'increasing predicted churn risk'/'pulling down projected CLV' is directional-causal shorthand but qualified by 'predicted'/'projected' and covered by the disclaimer.
1b2de0a00b3e5eeb48fd32ea28cee521,Lapsed one-time buyers,0.6464778184890747,58.83118237612277,Customer 1b2de0a00b3e5eeb48fd32ea28cee521 belongs to the 'Lapsed one-time buyers' segment with a historical spend of 59.1. The machine learning model projects a customer lifetime value of 58.83118237612277 against a formula-based value of 91.41845254898071. The customer exhibits a churn probability of 0.6464778184890747.,"The primary factor contributing to the churn prediction is avg_freight (value: 16.11, SHAP: 0.4586). Additional factors associated with the model's prediction include state_SP (value: 0.0) and avg_delivery_delay (value: -14.0).",avg_freight value of 16.11; state_SP value of 0.0; avg_order_value of 59.1; frequency value of 1.0,Target customer with low-freight promotions to re-engage lapsed purchase behavior.,SHAP feature attributions reflect statistical correlation with the model's output and do not imply direct causation.; Predicted CLV values are future projections based on machine learning models and formula calculations.,True,,4,5,3,3,5,Full-precision floats in summary hurt clarity. Only one recommended action given despite two distinct drivers (freight and delivery delay) being identified -- actionability could be stronger.
42ccb64a8249790bfbf885c6efc1cb40,Lapsed one-time buyers,0.7011083960533142,53.62882132882366,Customer 42ccb64a8249790bfbf885c6efc1cb40 belongs to the Lapsed one-time buyers segment with a historical spend of 53.73. The platform indicates a churn probability of 0.7011 and projects a machine learning CLV of 53.63. Overall market revenue in the next 30 days is predicted to decrease by 2.6% to 876325.54.,"The primary factor contributing to the model's high churn risk prediction is avg_freight (value 11.73, SHAP 0.7474), alongside avg_delivery_delay (value -14.0, SHAP 0.2091). Conversely, avg_delivery_days (value 4.0, SHAP -0.1964) helped lower the predicted churn risk.",avg_freight (SHAP 0.7474); avg_delivery_delay (SHAP 0.2091); avg_order_value (SHAP -108.6691); frequency (SHAP -3.2179),Target this lapsed buyer with low-freight promotions to lower the risk driver associated with avg_freight; Incentivize a second purchase to increase frequency above 1.0,"SHAP feature attributions reflect statistical correlation with model predictions, not direct causation; The ML CLV value of 53.63 is a model projection rather than a guaranteed future spend",True,,4,5,4,4,5,key_drivers reports raw SHAP scores (e.g. 'avg_order_value (SHAP -108.6691)') while risk_explanation uses feature values -- inconsistent unit of measure between the two fields could confuse a business reader.
2557b9d6b7d5ca77ebc116062e558214,Lapsed one-time buyers,0.9674056768417358,29.9032943062242,"Customer 2557b9d6b7d5ca77ebc116062e558214 belongs to the 'Lapsed one-time buyers' segment, with a historical spend of 29.86. The customer exhibits a high churn probability of 0.9674 and a predicted ML CLV of 29.90. The overall market context shows a flat revenue trend with a predicted 2.6% drop in the next 30 days.",The primary factors associated with the elevated churn risk prediction are avg_freight (value: 10.96) and avg_delivery_delay (value: -45.0). Additional contributing features include avg_delivery_days (value: 7.0) and monetary (value: 29.86).,avg_freight of 10.96; avg_delivery_delay of -45.0; avg_order_value of 29.86; frequency of 1.0,Engage lapsed single-purchase customers with targeted offers to increase low frequency and low order value.,SHAP feature attributions reflect statistical correlation with model predictions and do not imply direct causation.; The predicted CLV of 29.90 is a model projection based on historical patterns.,True,,5,5,4,3,5,Consistent and clear. Recommended action is generic ('targeted offers') and doesn't reference the specific top driver (avg_delivery_delay of -45.0) the way other rows do.
7ca19647e1200895475475186a3e072e,Recent one-time buyers,0.0012760097160935,107.34459835743148,"Customer 7ca19647e1200895475475186a3e072e is categorized under the Recent one-time buyers segment with a historical spend of 107.8. The model projects a machine learning CLV of 107.34 and a formula CLV of 5390.0, alongside a very low churn probability of 0.0013.",Features such as an avg_freight of 0.0 and state_AL value of 1.0 were key factors contributing to the model's low churn probability prediction. An avg_order_value of 107.8 and avg_delivery_delay of -15.0 also pushed the churn prediction lower.,Zero average freight fees; Alabama state location; Average order value of 107.8; Negative delivery delay of -15 days,Engage customer with targeted marketing to encourage a second purchase; Monitor post-purchase satisfaction to maintain low churn risk,"SHAP feature attributions describe correlation with predictions, not causation; CLV figures are projections and not guaranteed earnings",False,None of the supplied SHAP feature names appear in key_drivers,4,5,5,4,5,"AUTO-CHECK FALSE POSITIVE (manually verified): key_drivers paraphrases the same features/values named in risk_explanation (avg_freight->'Zero average freight fees', state_AL->'Alabama state location', avg_delivery_delay->'Negative delivery delay of -15 days') using synonyms instead of literal snake_case feature names. Content is faithful; the automated check is a string-matching limitation, not a real hallucination. Recommend loosening the auto-checker to match values/synonyms, not just literal names."
cecd5e9d39fddb69384c1c31bdfac666,Recent one-time buyers,0.2162028402090072,117.50287694470434,"Customer cecd5e9d39fddb69384c1c31bdfac666 is categorized under the Recent one-time buyers segment with a historical spend of 118.35. The customer's forecasted ML CLV is 117.50, compared to a formula-based CLV of 547.40, alongside a low churn probability of 0.216. This aligns with a flat broader market context where predicted revenue is projected to change by -2.6% over the next 30 days.","The customer exhibits a low churn probability of 0.2162. Top factors influencing the churn model's prediction include avg_delivery_delay (-1.0), avg_freight (8.03), and avg_delivery_days (9.0).",avg_delivery_delay of -1.0; avg_freight of 8.03; avg_order_value of 118.35; frequency of 1.0,Engage customer to encourage a second purchase given low churn risk; Monitor historical spend relative to ML CLV projection,"SHAP feature attributions describe correlation with the model prediction rather than direct causation; CLV figures are model projections and formula-based calculations, not guaranteed values",True,,5,5,4,3,5,"Consistent numbers and drivers. Recommendations are generic ('encourage a second purchase', 'monitor spend') rather than tied to the specific freight/delivery drivers cited."
62f40b4d76e73eadb555e3151e46fb24,Recent one-time buyers,0.3449876308441162,200.4244023376412,"This customer belongs to the 'Recent one-time buyers' segment, with a historical spend of 199.04. The machine learning model projects a customer lifetime value (CLV) of 200.42440233764117 against a calculated formula CLV of 576.9482313537598, while estimating a churn probability of 0.3449876308441162.","Features such as avg_installments (5.0) and state_SP (0.0) were important factors pushing toward a higher churn risk prediction, while avg_freight (39.06) and avg_delivery_days (5.0) pushed the churn risk lower.",High average order value (199.04) positively influencing projected CLV; Low purchase frequency (1.0) lowering CLV expectations; Five payment installments influencing churn probability; Average freight cost of 39.06 lowering churn risk attribution,Engage customer with targeted retention campaigns to encourage a second purchase; Monitor high-installment one-time buyers for follow-up marketing opportunities,SHAP attributions indicate correlation with model outputs and do not imply causation; ML-based CLV and churn metrics are future projections rather than guaranteed outcomes,True,,4,5,3,4,4,"Summary uses unrounded floats (200.42440233764117, 0.3449876308441162). key_drivers frames avg_installments as 'influencing churn probability' without direction, unlike risk_explanation which says it pushes risk higher -- a minor inconsistency in specificity between fields."
025d6eda479e8fe58f6f9c334f86712d,Recent one-time buyers,0.4308450222015381,138.27377630713215,"Customer 025d6eda479e8fe58f6f9c334f86712d belongs to the Recent one-time buyers segment and has a historical spend of 138.5. The model predicts a churn probability of 0.4308 and an ML-based CLV of 138.27, compared to a formula-based CLV of 321.46.","The avg_delivery_days of 11.0 and being located in state_RJ (value 1.0) were important factors contributing positively to the churn risk prediction. Conversely, the avg_freight value of 23.6 was a significant factor associated with lowering the churn prediction.",avg_freight of 23.6; avg_delivery_days of 11.0; avg_order_value of 138.5; state_RJ value of 1.0,Engage this recent one-time buyer with targeted offers to increase order frequency beyond 1.0; Monitor delivery timelines in state_RJ to reduce potential friction from avg_delivery_days,"SHAP values describe correlation with model predictions, not direct causation; CLV figures are predictive projections and may differ from actual future spend",False,None of the supplied SHAP feature names appear in key_drivers,5,5,4,4,5,"AUTO-CHECK FALSE POSITIVE (manually verified): key_drivers explicitly lists avg_freight, avg_delivery_days, avg_order_value, and state_RJ -- the same literal feature names used in risk_explanation, with matching values (23.6, 11.0, 138.5, 1.0). Looks like a bug in the automated matcher rather than an actual faithfulness failure."
37ae7c58b4be022ce76874059d56d998,Recent one-time buyers,0.503817081451416,637.2214343152126,This customer belongs to the Recent one-time buyers segment and has a historical spend of 649.86. The model projects an ML-based customer lifetime value of 637.22 alongside a churn probability of 0.5038.,"The feature avg_delivery_days with a value of 5.0 and avg_delivery_delay with a value of -9.0 were important factors contributing to the model's churn probability prediction. Additionally, monetary value of 649.86 and avg_review_score of 1.0 influenced the churn model assessment.",avg_delivery_days of 5.0; avg_delivery_delay of -9.0; monetary value of 649.86; avg_order_value of 649.86,Engage customer to address the avg_review_score of 1.0 and encourage repeat orders to increase frequency from 1.0.,SHAP values describe correlation with model predictions rather than direct causation.; CLV values of 637.22 (ML) and 1289.87 (formula) are future estimates subject to variance.,True,,4,4,4,5,5,"Good, specific action tied to avg_review_score=1.0. Minor gap: summary omits the formula CLV figure (1289.87) that only appears in the limitations line; 649.86 is used interchangeably as historical spend/monetary/avg_order_value without clarifying these are the same figure for a one-time buyer."
5c09246f8bb77c0c244f283b456010ea,Recent one-time buyers,0.5924876928329468,148.16392175920183,"Customer 5c09246f8bb77c0c244f283b456010ea belongs to the 'Recent one-time buyers' segment, with a historical spend of 148.65. The predicted ML Customer Lifetime Value is 148.16392175920183 compared to a formula-based CLV of 250.89128247499468. The estimated churn probability for this profile is 0.5924876928329468.","An avg_freight value of 15.68 and a state_SP value of 0.0 were major factors contributing positively to the churn prediction. Conversely, an avg_installments value of 1.0 contributed negatively to the model's churn risk prediction.",avg_freight of 15.68 pushing higher churn risk; state_SP of 0.0 associated with higher churn risk; avg_order_value of 148.65 reducing predicted CLV; frequency of 1.0 driving lower projected CLV,Target this customer with promotional offers to encourage a second purchase; Evaluate localized shipping incentives to offset higher average freight costs,"SHAP feature attributions reflect statistical correlation with model predictions, not direct causation; CLV figures are predictive projections and may differ from actual future revenue",True,,4,5,3,4,4,Full-precision floats in summary reduce clarity. 'driving lower projected CLV'/'pushing higher churn risk' is directional-causal shorthand -- acceptable given the disclaimer but worth tightening.
b2cacb795265383fd4d96ad26461cd2c,Recent one-time buyers,0.9158082008361816,61.53443448704649,"Customer b2cacb795265383fd4d96ad26461cd2c belongs to the Recent one-time buyers segment with a historical spend of 61.63. The model projects a high churn probability of 0.9158 and a predicted CLV of 61.53, while the broader 30-day market forecast shows a flat revenue trend of -2.6%.","The high churn probability prediction is primarily influenced by avg_delivery_delay (feature value -49.0) and avg_freight (feature value 11.73), which are key factors contributing to the model's output.",avg_delivery_delay feature value -49.0; avg_freight feature value 11.73; avg_order_value feature value 61.63; frequency feature value 1.0,Engage customer with targeted re-engagement offers suitable for one-time buyers with an average order value of 61.63.,SHAP values indicate feature attribution to model outputs rather than direct causation.; CLV figures are projected values rather than guaranteed future revenue.,True,,5,5,4,3,5,Consistent and clear. Single generic recommended action; doesn't address the delivery-delay driver specifically despite it being the top factor.
7e4bebe20140a71b34263a659ba1ce11,Loyal repeat customers,0.0024576962459832,70.00471907070728,"Customer 7e4bebe20140a71b34263a659ba1ce11 is classified within the 'Loyal repeat customers' segment with a historical spend of 69.94. The model indicates a low churn probability of 0.0025 and predicts a machine learning CLV of 70.00, compared to a formula CLV of 3497.0. Overall market trends reflect a flat projection with a forecasted 30-day revenue decline of 2.6%.",The customer presents a very low churn risk. Key features contributing to the low churn probability prediction include an avg_freight value of 7.775 (SHAP -4.3969) and a customer_tenure_days value of 230.0 (SHAP -1.0359).,"avg_freight (feature value 7.775, SHAP -4.3969); customer_tenure_days (feature value 230.0, SHAP -1.0359); avg_order_value (feature value 34.97, SHAP -184.5678); frequency (feature value 2.0, SHAP 90.3707)",Maintain engagement with this loyal repeat customer through tailored retention incentives.; Monitor order frequency and average order value to identify opportunities for upselling.,"SHAP feature attributions reflect statistical correlations with model predictions, not direct causation.; Predicted CLV values represent machine learning projections rather than guaranteed future revenue.",True,,5,5,4,4,5,"Well-grounded in SHAP values with directionality. Two distinct, relevant actions (retention + upsell) tied to the stated frequency/order-value drivers."
6d74740d498504341df1e7f104daebf0,Loyal repeat customers,0.1848025023937225,202.20337636047324,"This customer belongs to the Loyal repeat customers segment with a historical spend of 204.92 and a churn probability of 0.18. The machine learning model estimates their future customer lifetime value at 202.20, compared to a formula-based projection of 1108.86. Overall market revenue is expected to remain relatively flat, moving from 900002.61 to 876325.54 over the next 30 days.","The customer's low churn probability is primarily linked to an avg_freight of 23.015 and a customer_tenure_days of 188.0, both of which were key factors associated with lower model churn risk. Slight upward pressure on churn risk is correlated with a frequency of 2.0 and monetary of 204.92.",Avg freight (23.015); Customer tenure days (188.0); Frequency (2.0); Avg order value (102.46),Engage customer to leverage their 188.0 tenure days and frequency of 2.0 to maintain their low churn risk.,SHAP values represent correlation with model predictions and do not imply direct causation.; Predicted CLV of 202.20 is a model projection based on historical patterns and market context.,True,,4,5,4,3,4,'Slight upward pressure on churn risk is correlated with...' is good non-causal phrasing. Only one recommended action for two distinct drivers (tenure and frequency); avg_order_value (102.46) in key_drivers isn't explained anywhere else in the row.
004288347e5e88a27ded2bb23747066c,Loyal repeat customers,0.3541306257247925,347.36967180064045,"Customer 004288347e5e88a27ded2bb23747066c is categorized under the 'Loyal repeat customers' segment with a historical spend of 354.37. The predicted churn probability stands at 0.3541, while the projected machine learning Customer Lifetime Value (CLV) is 347.37. The broader market revenue shows a flat trend direction with a forecasted 2.6% decrease over the next 30 days.",The feature avg_freight (value 18.24) and monetary (value 354.37) are key factors associated with the model's churn probability output. Additional SHAP features contributing to the model's risk evaluation include customer_tenure_days (171.0) and state_RJ (1.0).,High purchase frequency (value 2.0) contributing positively to CLV; Average order value of 177.185 elevating prospective lifetime value; Average freight costs (value 18.24) pushing down both churn risk and CLV prediction; Customer tenure of 171.0 days acting as an important attribution factor,Engage the customer with targeted retention campaigns focusing on high average order values; Monitor account activity for customers residing in state_RJ to maintain low churn risk,SHAP attributions indicate statistical correlation with model outputs and do not imply direct causation; The estimated CLV of 347.37 is a forward-looking model projection subject to error,True,,4,5,3,4,4,"key_drivers introduces 'Average order value of 177.185', roughly half of monetary (354.37) -- plausible per-order average given frequency=2, but unexplained in-text and could read as a discrepancy."
c85df1c6ef6f7bb605e1c49d34f172ee,Loyal repeat customers,0.5333207249641418,248.33694562454747,"Customer c85df1c6ef6f7bb605e1c49d34f172ee belongs to the Loyal repeat customers segment with a historical spend of 237.77. The model estimates a churn probability of 0.533 (53.33%) and projects a machine-learning-based Customer Lifetime Value of 248.34, compared to a formulaic CLV of 445.83. The overall market trend shows a flat 30-day predicted revenue change of -2.6%.","The customer's average freight value of 29.485 (SHAP 0.1745) was the primary factor contributing to the increased churn prediction, along with average delivery delay (-8.0) and frequency (2.0). Conversely, average installments of 1.0 (SHAP -0.0888) helped lower the predicted risk.",High average freight cost (29.485); Order frequency (2.0) positive CLV impact; Lower average order value (118.885); Single installment payments (1.0),Evaluate shipping incentives or discounted freight options to address the high average freight impact; Implement targeted re-engagement campaigns leveraging the customer's repeat order frequency,SHAP feature attributions indicate correlation with model predictions rather than direct causation; The projected ML CLV of 248.34 is an estimated valuation rather than a guaranteed revenue outcome,True,,5,5,4,5,4,"Strong, specific two-part action plan (freight discount + re-engagement) tied directly to stated drivers. 'contributing to the increased churn prediction' phrasing is acceptable under the disclaimer."
8816ea7c1592bcab312eae9352996067,Loyal repeat customers,0.6269994378089905,83.97222086765636,"Customer 8816ea7c1592bcab312eae9352996067 belongs to the 'Loyal repeat customers' segment with a historical spend of 91.06. The customer has a predicted churn probability of 0.627, an ML-based customer lifetime value of 83.97, and a formula-based lifetime value of 145.23. Overall market revenue for the next 30 days is predicted to experience a flat trend direction with a 2.6 percent decrease.","An average freight cost of 25.63, a frequency of 2.0, and an average delivery time of 18.0 days were important factors contributing to the model's elevated churn prediction. Conversely, an average installment count of 2.0 and residing in state_MG helped lower the churn risk prediction.",avg_freight (25.63); frequency (2.0); avg_delivery_days (18.0); avg_order_value (45.53),Address delivery delays and high freight costs for repeat orders; Target promotional offers to boost low average order value,SHAP feature attributions describe correlation with model predictions and do not imply direct causation; Customer lifetime value values are future model projections rather than guaranteed revenues,True,,4,5,4,4,4,"key_drivers' avg_order_value (45.53) is roughly half of historical spend (91.06) given frequency=2 -- plausible per-order average but unexplained, same pattern as the row above."
